starting player;steps;win;loss;draw;name;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_5.pt;;;;
0;86;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_2.pt;;;;
1;86;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_2.pt;;;;
0;72;0;1;0;kaggle8.pt;;;;
1;72;0;1;0;kaggle8.pt;;;;
0;85;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_4.pt;;;;
1;76;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_4.pt;;;;
0;45;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_33.pt;;;;
1;80;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_33.pt;;;;
0;39;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_38.pt;;;;
1;51;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_38.pt;;;;
0;43;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_18.pt;;;;
1;131;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_18.pt;;;;
0;36;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_2.pt;;;;
1;36;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_2.pt;;;;
0;72;0;1;0;kaggle5.pt;;;;
1;72;0;1;0;kaggle5.pt;;;;
0;84;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_9.pt;;;;
1;84;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_9.pt;;;;
0;119;0;1;0;kaggle1.pt;;;;
1;73;0;1;0;kaggle1.pt;;;;
0;71;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_4.pt;;;;
1;43;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_4.pt;;;;
0;101;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_1.pt;;;;
1;72;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_1.pt;;;;
0;40;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_3.pt;;;;
1;40;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_3.pt;;;;
0;61;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_21.pt;;;;
1;42;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_21.pt;;;;
0;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_23.pt;;;;
1;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_23.pt;;;;
0;78;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_17.pt;;;;
1;78;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_17.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_29.pt;;;;
1;88;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_29.pt;;;;
0;70;0;1;0;kaggle6.pt;;;;
1;70;0;1;0;kaggle6.pt;;;;
0;88;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_25.pt;;;;
1;88;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_25.pt;;;;
0;67;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_7.pt;;;;
1;42;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_7.pt;;;;
0;83;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_1.pt;;;;
1;56;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_1.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_10.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_10.pt;;;;
0;76;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_40.pt;;;;
1;76;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_40.pt;;;;
0;100;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_28.pt;;;;
1;100;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_28.pt;;;;
0;61;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_13.pt;;;;
1;45;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_13.pt;;;;
0;105;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_21.pt;;;;
1;39;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_21.pt;;;;
0;49;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_29.pt;;;;
1;45;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_29.pt;;;;
0;49;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_6.pt;;;;
1;78;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_6.pt;;;;
0;45;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_16.pt;;;;
1;71;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_16.pt;;;;
0;35;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_31.pt;;;;
1;76;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_31.pt;;;;
0;72;0;1;0;kaggle7.pt;;;;
1;72;0;1;0;kaggle7.pt;;;;
0;39;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_6.pt;;;;
1;70;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_6.pt;;;;
0;76;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_30.pt;;;;
1;76;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_30.pt;;;;
0;41;1;0;0;go_6_3vrstvy_high_LR_8_batches_exp_0.pt;;;;
1;47;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_0.pt;;;;
0;59;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_14.pt;;;;
1;71;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_14.pt;;;;
0;113;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_7.pt;;;;
1;156;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_7.pt;;;;
0;103;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_44.pt;;;;
1;51;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_44.pt;;;;
0;41;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_15.pt;;;;
1;76;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_15.pt;;;;
0;80;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_13.pt;;;;
1;80;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_13.pt;;;;
0;67;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_3.pt;;;;
1;123;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_3.pt;;;;
0;67;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_42.pt;;;;
1;86;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_42.pt;;;;
0;39;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_9.pt;;;;
1;39;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_9.pt;;;;
0;49;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_23.pt;;;;
1;65;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_23.pt;;;;
0;49;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_14.pt;;;;
1;121;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_14.pt;;;;
0;76;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_8.pt;;;;
1;76;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_8.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_26.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_26.pt;;;;
;;;;;go_6_3vrstvy_high_LR_7_batches_exp_5.pt;;;;
;;;;;go_6_3vrstvy_high_LR_7_batches_exp_5.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_41.pt;;;;
1;50;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_41.pt;;;;
0;45;1;0;0;go_6_3vrstvy_high_LR_8_batches_exp_6.pt;;;;
1;45;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_6.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_18.pt;;;;
1;201;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_18.pt;;;;
0;72;0;1;0;kaggle2.pt;;;;
1;72;0;1;0;kaggle2.pt;;;;
0;37;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_15.pt;;;;
1;60;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_15.pt;;;;
0;75;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_19.pt;;;;
1;57;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_19.pt;;;;
0;73;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_39.pt;;;;
1;49;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_39.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_20.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_20.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_16.pt;;;;
1;45;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_16.pt;;;;
0;45;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_19.pt;;;;
1;72;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_19.pt;;;;
0;72;0;1;0;kaggle4.pt;;;;
1;72;0;1;0;kaggle4.pt;;;;
0;77;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_17.pt;;;;
1;43;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_17.pt;;;;
0;69;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_11.pt;;;;
1;57;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_11.pt;;;;
0;80;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_46.pt;;;;
1;80;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_46.pt;;;;
0;42;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_26.pt;;;;
1;42;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_26.pt;;;;
0;88;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_35.pt;;;;
1;88;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_35.pt;;;;
0;43;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_12.pt;;;;
1;44;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_12.pt;;;;
0;67;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_24.pt;;;;
1;73;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_24.pt;;;;
0;72;0;1;0;kaggle3.pt;;;;
1;72;0;1;0;kaggle3.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_33.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_33.pt;;;;
0;75;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_31.pt;;;;
1;47;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_31.pt;;;;
0;53;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_24.pt;;;;
1;43;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_24.pt;;;;
0;69;1;0;0;go_6_3vrstvy_high_LR_8_batches_exp_1.pt;;;;
1;51;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_1.pt;;;;
0;80;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_32.pt;;;;
1;80;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_32.pt;;;;
0;37;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_12.pt;;;;
1;76;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_12.pt;;;;
0;61;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_30.pt;;;;
1;136;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_30.pt;;;;
0;78;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_2.pt;;;;
1;78;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_2.pt;;;;
0;86;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_11.pt;;;;
1;86;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_11.pt;;;;
0;72;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_7.pt;;;;
1;72;0;1;0;go_6_3vrstvy_high_LR_8_batches_exp_7.pt;;;;
0;74;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_0.pt;;;;
1;74;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_0.pt;;;;
0;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_22.pt;;;;
1;74;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_22.pt;;;;
0;57;1;0;0;go_6_3vrstvy_high_LR_9_batches_exp_10.pt;;;;
1;49;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_10.pt;;;;
0;46;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_8.pt;;;;
1;46;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_8.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_45.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_45.pt;;;;
0;37;0;1;0;kaggle0.pt;;;;
1;63;0;1;0;kaggle0.pt;;;;
0;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_25.pt;;;;
1;82;0;1;0;go_6_3vrstvy_high_LR_9_batches_exp_25.pt;;;;
0;45;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_27.pt;;;;
1;77;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_27.pt;;;;
0;48;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_37.pt;;;;
1;48;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_37.pt;;;;
0;59;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_47.pt;;;;
1;75;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_47.pt;;;;
0;47;1;0;0;go_6_3vrstvy_high_LR_7_batches_exp_34.pt;;;;
1;79;0;1;0;go_6_3vrstvy_high_LR_7_batches_exp_34.pt;;;;
0;;;;;;;;;
1;;;;;;;;;
